"State","Year","Price_per_kwh","Price","Region"
"Alaska","2015",20.18,2145.5376,"West"
"Alaska","2016",20.57,2187.0024,"West"
"Alaska","2017",21.53,2289.0696,"West"
"Alaska","2018",22.1,2349.672,"West"
"Alaska","2019",22.9,2434.728,"West"
"Alaska","2020",23,2445.36,"West"
"Alaska","2021",22.63,2406.0216,"West"
"Alaska","2022",23.14,2460.2448,"West"
"Hawaii","2015",30.16,3206.6112,"West"
"Hawaii","2016",27.34,2906.7888,"West"
"Hawaii","2017",29.27,3111.9864,"West"
"Hawaii","2018",32.16,3419.2512,"West"
"Hawaii","2019",32.29,3433.0728,"West"
"Hawaii","2020",30.59,3252.3288,"West"
"Hawaii","2021",32.93,3501.1176,"West"
"Hawaii","2022",42.81,4551.5592,"West"
