"Year","State","Price_per_1000ft3","Price","Region"
2020,"New.Mexico",7.04,422.4,"Other"
2020,"New.York",12.8,768,"Other"
2020,"North.Carolina",13.23,793.8,"Other"
2020,"North.Dakota",6.82,409.2,"Other"
2020,"Ohio",9.53,571.8,"Midwest"
2020,"Oklahoma",9.11,546.6,"South"
2020,"Oregon",10.91,654.6,"West"
2020,"Pennsylvania",11.48,688.8,"Northeast"
2020,"Rhode.Island",15.06,903.6,"Other"
2020,"South.Carolina",13.49,809.4,"Other"
2020,"South.Dakota",7.11,426.6,"Other"
2020,"Tennessee",8.97,538.2,"South"
2020,"Texas",11.64,698.4,"South"
2020,"Utah",8.15,489,"West"
2020,"Vermont",13.21,792.6,"Northeast"
2020,"Virginia",12.72,763.2,"South"
2020,"Washington",10.97,658.2,"West"
2020,"West.Virginia",10.11,606.6,"Other"
2020,"Wisconsin",7.52,451.2,"Midwest"
2020,"Wyoming",8.84,530.4,"West"
2021,"Alabama",15.72,943.2,"South"
2021,"Alaska",10.94,656.4,"West"
2021,"Arizona",15.52,931.2,"West"
2021,"Arkansas",12.55,753,"South"
2021,"California",16.34,980.4,"West"
2021,"Colorado",9.11,546.6,"West"
2021,"Connecticut",16.06,963.6,"Northeast"
2021,"Delaware",13.14,788.4,"South"
2021,"District.of.Columbia",14.29,857.4,"Other"
2021,"Florida",22.9,1374,"South"
2021,"Georgia",15.91,954.6,"South"
2021,"Hawaii",46.99,2819.4,"West"
2021,"Idaho",7,420,"West"
2021,"Illinois",10.51,630.6,"Midwest"
2021,"Indiana",10.05,603,"Midwest"
2021,"Iowa",10.2,612,"Midwest"
2021,"Kansas",11.11,666.6,"Midwest"
2021,"Kentucky",12.21,732.6,"South"
2021,"Louisiana",12.87,772.2,"South"
2021,"Maine",16.54,992.4,"Northeast"
2021,"Maryland",14.7,882,"South"
2021,"Massachusetts",16.02,961.2,"Northeast"
2021,"Michigan",9.21,552.6,"Midwest"
2021,"Minnesota",9.4,564,"Midwest"
2021,"Mississippi",12.64,758.4,"South"
2021,"Missouri",10.87,652.2,"Midwest"
2021,"Montana",8.86,531.6,"West"
2021,"Nebraska",9.59,575.4,"Midwest"
2021,"Nevada",9.72,583.2,"West"
2021,"New.Hampshire",16.31,978.6,"Other"
2021,"New.Jersey",10.26,615.6,"Other"
2021,"New.Mexico",9.77,586.2,"Other"
2021,"New.York",13.78,826.8,"Other"
2021,"North.Carolina",14.12,847.2,"Other"
2021,"North.Dakota",9.11,546.6,"Other"
2021,"Ohio",11.08,664.8,"Midwest"
2021,"Oklahoma",10.31,618.6,"South"
2021,"Oregon",11.76,705.6,"West"
2021,"Pennsylvania",12.01,720.6,"Northeast"
2021,"Rhode.Island",16.18,970.8,"Other"
2021,"South.Carolina",14.29,857.4,"Other"
2021,"South.Dakota",9.75,585,"Other"
2021,"Tennessee",10.29,617.4,"South"
2021,"Texas",13.77,826.2,"South"
2021,"Utah",8.99,539.4,"West"
2021,"Vermont",14.01,840.6,"Northeast"
2021,"Virginia",13.68,820.8,"South"
2021,"Washington",11.63,697.8,"West"
2021,"West.Virginia",10.46,627.6,"Other"
2021,"Wisconsin",9.74,584.4,"Midwest"
2021,"Wyoming",10.04,602.4,"West"
2022,"Alabama",17.36,1041.6,"South"
2022,"Alaska",11.08,664.8,"West"
2022,"Arizona",17.81,1068.6,"West"
2022,"Arkansas",16.95,1017,"South"
2022,"California",20.15,1209,"West"
2022,"Colorado",12.72,763.2,"West"
2022,"Connecticut",18.36,1101.6,"Northeast"
2022,"Delaware",15,900,"South"
2022,"District.of.Columbia",16.68,1000.8,"Other"
2022,"Florida",26.34,1580.4,"South"
2022,"Georgia",18.06,1083.6,"South"
2022,"Hawaii",57.46,3447.6,"West"
2022,"Idaho",7.97,478.2,"West"
2022,"Illinois",13.8,828,"Midwest"
2022,"Indiana",11.6,696,"Midwest"
2022,"Iowa",13.04,782.4,"Midwest"
2022,"Kansas",14.36,861.6,"Midwest"
2022,"Kentucky",14.58,874.8,"South"
2022,"Louisiana",15.89,953.4,"South"
2022,"Maine",20.73,1243.8,"Northeast"
2022,"Maryland",16.97,1018.2,"South"
2022,"Massachusetts",20.45,1227,"Northeast"
2022,"Michigan",11.31,678.6,"Midwest"
2022,"Minnesota",12.12,727.2,"Midwest"
2022,"Mississippi",14.55,873,"South"
2022,"Missouri",14.29,857.4,"Midwest"
2022,"Montana",10.42,625.2,"West"
2022,"Nebraska",12.83,769.8,"Midwest"
2022,"Nevada",12.72,763.2,"West"
2022,"New.Hampshire",20.51,1230.6,"Other"
2022,"New.Jersey",12.53,751.8,"Other"
2022,"New.Mexico",12.51,750.6,"Other"
2022,"New.York",16.34,980.4,"Other"
2022,"North.Carolina",17.2,1032,"Other"
2022,"North.Dakota",10.9,654,"Other"
2022,"Ohio",13.07,784.2,"Midwest"
2022,"Oklahoma",14.78,886.8,"South"
2022,"Oregon",12.83,769.8,"West"
2022,"Pennsylvania",14.94,896.4,"Northeast"
2022,"Rhode.Island",18.17,1090.2,"Other"
2022,"South.Carolina",15.67,940.2,"Other"
2022,"South.Dakota",10.99,659.4,"Other"
2022,"Tennessee",12.45,747,"South"
2022,"Texas",16.52,991.2,"South"
2022,"Utah",10.48,628.8,"West"
2022,"Vermont",15.51,930.6,"Northeast"
2022,"Virginia",16.1,966,"South"
2022,"Washington",12.83,769.8,"West"
2022,"West.Virginia",12.08,724.8,"Other"
2022,"Wisconsin",11.34,680.4,"Midwest"
2022,"Wyoming",13.4,804,"West"
