"State","Year","electricity","auto","ng","food","house_own","house_rent","rPCE"
"Minnesota",2016,1359.8328,902.36,480.6,3252.15,12337.8967869333,13088.89641,43952
"Minnesota",2017,1411.9296,939.01,508.2,3285,13442.3362832833,13474.327034405,44974
"Minnesota",2018,1431.0672,972.4,521.4,3372.6,14640.0384209333,13331.01563858,44509
"Minnesota",2019,1427.8776,991.33,483.6,3533.95517241379,14550.6308799833,13786.33802586,44935
"Minnesota",2020,1436.3832,972.91,482.4,3627.97413793103,14247.92150815,14172.6503188,42707
"Minnesota",2021,1433.1936,986.22,564,4114.05344827586,15238.44748705,14807.91303806,45690
"Minnesota",2022,1516.1232,1063.32,727.2,4578.73620689655,20250.132571,15559.002970101,47301
"Missouri",2015,1175.8992,879.74,696,2989.35,9239.624637575,9865.333513125,40584
"Missouri",2016,1174.836,933.75,656.4,3066,9512.7475727375,10122.603568525,41419
"Missouri",2017,1222.68,1002.67,706.8,3044.1,10200.9301588625,10428.2935823,41951
"Missouri",2018,1206.732,1055.8,622.2,3142.65,11148.8124842625,10363.2425884,42641
"Missouri",2019,1174.836,1073.65,624.6,3231.39260869565,11061.5090451125,10765.83113256,42578
"Missouri",2020,1188.6576,1042.81,623.4,3342.0352173913,10947.2244851125,11252.09924928,41804
"Missouri",2021,1234.3752,1063.26,652.2,3769.18043478261,11902.2612219,11897.262260321,44892
"Missouri",2022,1325.8104,1133.9,857.4,4224.51,16168.700434025,12450.6243784929,46403
"Nebraska",2015,1165.2672,838.55,531.6,3033.15,11202.8781344,10284.9714489,41536
"Nebraska",2016,1171.6464,871.53,480.6,3098.85,11600.5066688333,10566.76610585,42391
"Nebraska",2017,1181.2152,934.3,540.6,3098.85,12497.7586442,10907.5022346,43264
"Nebraska",2018,1162.0776,963.31,512.4,3131.7,13756.5128354667,11263.46341385,42654
"Nebraska",2019,1166.3304,974.13,474,3393.08709677419,13905.6859634667,11615.4969961,42734
"Nebraska",2020,1180.152,956.86,482.4,3427.82096774194,13718.2358259333,12058.81048965,41611
"Nebraska",2021,1159.9512,982.81,575.4,3820.37258064516,14953.4273504333,12712.08181615,45632
"Nebraska",2022,1178.0256,1049.96,769.8,4195.96935483871,19681.8181513333,12666.8174101667,47770
"North Dakota",2015,1053.6312,783.79,489,3219.3,15228.1141636667,10390.744,48866
"North Dakota",2016,1104.6648,783.54,432.6,3350.7,15080.0051813333,10390.74445845,47809
"North Dakota",2017,1130.1816,808.9,458.4,3361.65,15448.1047263333,10690.43502995,48559
"North Dakota",2018,1117.4232,845.81,432,3405.45,16295.8916526667,11093.74068435,47815
"North Dakota",2019,1126.992,861.32,420,3675.89433962264,15399.507946,11323.8377762,47512
"North Dakota",2020,1131.2448,843.17,409.2,3588.70754716981,14723.1486726,11455.8223671167,46887
"North Dakota",2021,1173.7728,824.85,546.6,3992.82452830189,15421.9643366667,10960.471869175,49817
"North Dakota",2022,1183.3416,871.02,654,4453.9641509434,19844.8090926667,11413.84247782,51586
"South Dakota",2015,1171.6464,776.38,498,3219.3,12684.90451065,9554.138,42693
"South Dakota",2016,1222.68,810.47,456,3295.95,13043.9115825,9554.1381375,43737
"South Dakota",2017,1249.26,872.4,490.8,3306.9,13953.936386,9960.6979256,44433
"South Dakota",2018,1246.0704,906.65,459.6,3295.95,15147.7656595,10458.75170315,43353
"South Dakota",2019,1241.8176,932.68,437.4,3582.64090909091,15135.65054,10622.90601765,43526
"South Dakota",2020,1258.8288,924.17,426.6,3699.275,15044.3624725,10962.57927485,43270
"South Dakota",2021,1314.1152,958.88,585,4143.74545454545,16306.010136,12005.6614986,47012
"South Dakota",2022,1306.6728,1023.21,659.4,4557.68863636364,23204.435426,13692.7753288333,48706
"Delaware",2015,1422.5616,1239.23,757.2,3328.8,12795.9604064,13493.9223925,43952
"Delaware",2016,1434.2568,1269.92,712.8,3416.4,12951.3320973,13764.8127055,43961
"Delaware",2017,1431.0672,1321.51,770.4,3416.4,13837.829815,14049.416222,44514
"Delaware",2018,1341.7584,1391.84,756,3482.1,15018.0522065,14477.4230665,45194
"Delaware",2019,1347.0744,1387.16,726,3657.3,14823.3794475,14953.1022795,45685
"Delaware",2020,1344.948,1346.83,777,3854.4,14283.8987735,15647.3285645,44523
"Delaware",2021,1324.7472,1350.67,788.4,4164.65,16094.3572465,17902.3601225,47909
"Delaware",2022,1427.8776,1388.67,900,4599,22881.0232285,19748.7007505,48371
"District of Columbia",2015,1361.9592,1336.92,718.8,3952.95,23843.306723,20662.771686,57499
"District of Columbia",2016,1366.212,1386.88,654,4018.65,24076.061569,21024.608197,58437
"District of Columbia",2017,1361.9592,1466.27,751.8,4325.25,25544.56697,21503.376369,60432
"District of Columbia",2018,1353.4536,1573.99,706.8,4467.6,27658.324027,22007.888264,61417
"District of Columbia",2019,1378.9704,1582.85,768.6,4763.25,27090.177556,22694.089488,63900
"District of Columbia",2020,1333.2528,1541.98,715.2,4916.55,26294.217654,22809.162686,60411
"District of Columbia",2021,1385.3496,1559.31,857.4,5190.3,28195.362465,23491.783218,65273
"District of Columbia",2022,1481.0376,1628.81,1000.8,5748.75,37550.085024,25585.594622,65972
